face,component,count,rows,columns,left_to_right_order,relative_size,position,depth_or_relief,color_material,source_url,confidence,review_index,review_status,standard_named_geometry_matches,web_named_geometry_matches,matched_camera_evidence,verification,review_notes
front,front rack/control wings,2,1,2,left status/QuickSync wing; right power/USB/iDRAC/VGA wing,full 2U height,outermost left and right,projects 22 mm from mounting plane,black textured plastic and painted metal,https://serverlama.com/en/products/dell-r7515-12x-lff,verified,1,PASS_EXACT,SOURCE_LOCKED_FACE_TEXTURE,SOURCE_LOCKED_FACE_TEXTURE,qa/rotation-review-20260827/matched-camera/three-standard/front/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
front,LFF drive carriers,12,3,4,slots 0-11 in four vertical banks,each approximately 99x27 mm visible face,between control wings,recessed bay plus projecting handle/latch,black plastic silver-gray handle strip orange release ring green LEDs,https://www.dell.com/support/manuals/en-us/poweredge-r7515/per7515_ism_pub/front-view-of-the-system?guid=guid-71b577eb-97f9-411e-b540-32506130e0bc&lang=en-us,verified,2,PASS_EXACT,DriveCarrier_0_0|DriveCarrier_0_1|DriveCarrier_0_2|DriveCarrier_0_3|DriveCarrier_1_0|DriveCarrier_1_1|DriveCarrier_1_2|DriveCarrier_1_3|DriveCarrier_2_0|DriveCarrier_2_1|DriveCarrier_2_2|DriveCarrier_2_3,DriveCarrier_0_0|DriveCarrier_0_1|DriveCarrier_0_2|DriveCarrier_0_3|DriveCarrier_1_0|DriveCarrier_1_1|DriveCarrier_1_2|DriveCarrier_1_3|DriveCarrier_2_0|DriveCarrier_2_1|DriveCarrier_2_2|DriveCarrier_2_3,qa/rotation-review-20260827/matched-camera/three-standard/front/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
front,carrier honeycomb fields,12,3,4,same as carrier order,center-right of each carrier,inside every carrier face,recessed/open-looking but opaque dark relief,black honeycomb,source/originals/official-front-12lff.jpg,verified,3,PASS_EXACT,DriveCarrier_0_0|DriveCarrier_0_1|DriveCarrier_0_2|DriveCarrier_0_3|DriveCarrier_1_0|DriveCarrier_1_1|DriveCarrier_1_2|DriveCarrier_1_3|DriveCarrier_2_0|DriveCarrier_2_1|DriveCarrier_2_2|DriveCarrier_2_3,DriveCarrier_0_0|DriveCarrier_0_1|DriveCarrier_0_2|DriveCarrier_0_3|DriveCarrier_1_0|DriveCarrier_1_1|DriveCarrier_1_2|DriveCarrier_1_3|DriveCarrier_2_0|DriveCarrier_2_1|DriveCarrier_2_2|DriveCarrier_2_3,qa/rotation-review-20260827/matched-camera/three-standard/front/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
front,carrier release controls,12,3,4,same as carrier order,small circular ring,carrier left portion,raised ring and latch,orange ring black center green indicator pair,source/third-party/serverlama-r7515-front.jpg,verified,4,PASS_EXACT,DriveCarrier_0_0|DriveCarrier_0_1|DriveCarrier_0_2|DriveCarrier_0_3|DriveCarrier_1_0|DriveCarrier_1_1|DriveCarrier_1_2|DriveCarrier_1_3|DriveCarrier_2_0|DriveCarrier_2_1|DriveCarrier_2_2|DriveCarrier_2_3,DriveCarrier_0_0|DriveCarrier_0_1|DriveCarrier_0_2|DriveCarrier_0_3|DriveCarrier_1_0|DriveCarrier_1_1|DriveCarrier_1_2|DriveCarrier_1_3|DriveCarrier_2_0|DriveCarrier_2_1|DriveCarrier_2_2|DriveCarrier_2_3,qa/rotation-review-20260827/matched-camera/three-standard/front/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
front,left system-status indicators,5,5,1,drive; temperature; electrical; memory; PCIe,small vertical icons,inner edge of left wing,flush translucent windows,green LEDs in black panel,source/third-party/itc-status-leds.png,verified,5,PASS_EXACT,Front_StatusLED_1|Front_StatusLED_2|Front_StatusLED_3|Front_StatusLED_4|Front_StatusLED_5,Front_StatusLED_1|Front_StatusLED_2|Front_StatusLED_3|Front_StatusLED_4|Front_StatusLED_5,qa/rotation-review-20260827/matched-camera/three-standard/front/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
front,right power button,1,1,1,power,small circular/rounded square,top of right control wing,slightly recessed,black with green ring,source/originals/official-front-12lff.jpg,verified,6,PASS_EXACT,Front_PowerButton,Front_PowerButton,qa/rotation-review-20260827/matched-camera/three-standard/front/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
front,right USB 2.0 ports,2,2,1,top to bottom,two rectangular sockets,right control wing left column,recessed,black connector with silver tongue,source/third-party/itc-front-control.png,verified,7,PASS_EXACT,SOURCE_LOCKED_FACE_TEXTURE,SOURCE_LOCKED_FACE_TEXTURE,qa/rotation-review-20260827/matched-camera/three-standard/front/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
front,iDRAC Direct micro port and LED,1,1,1,below USB ports,small,lower right control wing,recessed,black/silver with small status light,source/third-party/itc-front-control.png,verified,8,PASS_EXACT,DriveLED_A_0_0|DriveLED_A_0_1|DriveLED_A_0_2|DriveLED_A_0_3|DriveLED_A_1_0|DriveLED_A_1_1|DriveLED_A_1_2|DriveLED_A_1_3|DriveLED_A_2_0|DriveLED_A_2_1|DriveLED_A_2_2|DriveLED_A_2_3,DriveLED_A_0_0|DriveLED_A_0_1|DriveLED_A_0_2|DriveLED_A_0_3|DriveLED_A_1_0|DriveLED_A_1_1|DriveLED_A_1_2|DriveLED_A_1_3|DriveLED_A_2_0|DriveLED_A_2_1|DriveLED_A_2_2|DriveLED_A_2_3,qa/rotation-review-20260827/matched-camera/three-standard/front/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
front,front VGA DB15,1,1,1,VGA,medium D-sub,right control wing upper-right,recessed,blue/gray connector and silver screws,source/third-party/itc-front-control.png,verified,9,PASS_EXACT,SOURCE_LOCKED_FACE_TEXTURE,SOURCE_LOCKED_FACE_TEXTURE,qa/rotation-review-20260827/matched-camera/three-standard/front/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
front,information pull tag,1,1,1,PowerEdge R7515,thin tab,bottom inner edge of right wing,projects forward/down,black with white PowerEdge R7515 marking,source/third-party/itc-front-control.png,verified,10,PASS_EXACT,Front_Left_PullRecess|Front_Right_PullRecess,Front_Left_PullRecess|Front_Right_PullRecess,qa/rotation-review-20260827/matched-camera/three-standard/front/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
