source_page,asset_url,local_path,source_type,view,actual_model,node_count,drive_config,pdf_page,confirmed_details,confidence,status
https://i.dell.com/sites/csdocuments/Product_Docs/en/poweredge-c6400-c6420-technical-guide.pdf,https://i.dell.com/sites/csdocuments/Product_Docs/en/poweredge-c6400-c6420-technical-guide.pdf,sources/official/technical-guide.pdf,Dell official PDF,multiple; see extracted pages,C6400 enclosure / C6420 node,4 target; multiple configs in document,24x2.5 target; other configs explicitly excluded,13 Fig1;14 Fig3/4;66 Fig11 Table31;67 PSU table,Dimensions and part layout; verify page-specific applicability,high,200
https://dl.dell.com/topicspdf/poweredge-c6400_owners-manual2_en-us.pdf,https://dl.dell.com/topicspdf/poweredge-c6400_owners-manual2_en-us.pdf,sources/official/technical-specifications.pdf,Dell official PDF,multiple; see extracted pages,C6400 enclosure / C6420 node,4 target; multiple configs in document,24x2.5 target; other configs explicitly excluded,5 Fig1/Table1,Dimensions and part layout; verify page-specific applicability,high,200
https://i.dell.com/sites/csdocuments/Product_Docs/en/c6420-technical-guide.pdf,https://i.dell.com/sites/csdocuments/Product_Docs/en/c6420-technical-guide.pdf,sources/official/c6420-technical-guide-older.pdf,Dell official PDF,multiple; see extracted pages,C6400 enclosure / C6420 node,4 target; multiple configs in document,24x2.5 target; other configs explicitly excluded,9/10 chassis views;34 dimensions,Dimensions and part layout; verify page-specific applicability,high,200
https://dl.dell.com/topicspdf/poweredge-c6400_owners-manual_en-us.pdf,https://dl.dell.com/topicspdf/poweredge-c6400_owners-manual_en-us.pdf,sources/official/c6400-service-manual.pdf,Dell official PDF,multiple; see extracted pages,C6400 enclosure / C6420 node,4 target; multiple configs in document,24x2.5 target; other configs explicitly excluded,7 Fig2/4 front/control;9 Fig5/6 rear/drive mapping;14-16 labels,Dimensions and part layout; verify page-specific applicability,high,200
https://dl.dell.com/topicspdf/poweredge-c6420_owners-manual_en-us.pdf,https://dl.dell.com/topicspdf/poweredge-c6420_owners-manual_en-us.pdf,sources/official/c6420-service-manual.pdf,Dell official PDF,multiple; see extracted pages,C6400 enclosure / C6420 node,4 target; multiple configs in document,24x2.5 target; other configs explicitly excluded,8/9 rear ports;14/15 service labels,Dimensions and part layout; verify page-specific applicability,high,200
https://downloads.dell.com/topicspdf/poweredge-c6420_Owners-Manual2_en-us.pdf,https://downloads.dell.com/topicspdf/poweredge-c6420_Owners-Manual2_en-us.pdf,sources/official/c6420-technical-specifications.pdf,Dell official PDF,multiple; see extracted pages,C6400 enclosure / C6420 node,4 target; multiple configs in document,24x2.5 target; other configs explicitly excluded,4 Fig1/Table1 sled dimensions,Dimensions and part layout; verify page-specific applicability,high,200
https://i.dell.com/sites/csdocuments/Product_Docs/en/poweredge-c6420-spec-sheet.pdf,https://i.dell.com/sites/csdocuments/Product_Docs/en/poweredge-c6420-spec-sheet.pdf,sources/official/c6420-spec-sheet.pdf,Dell official PDF,multiple; see extracted pages,C6400 enclosure / C6420 node,4 target; multiple configs in document,24x2.5 target; other configs explicitly excluded,2 chassis options and 790 mm nominal depth,Dimensions and part layout; verify page-specific applicability,high,200
https://downloads.dell.com/manuals/all-products/esuprt_solutions_int/esuprt_solutions_int_solutions_resources/high-computing-solution-resources_white-papers48_en-us.pdf,https://downloads.dell.com/manuals/all-products/esuprt_solutions_int/esuprt_solutions_int_solutions_resources/high-computing-solution-resources_white-papers48_en-us.pdf,sources/official/hpc-design-whitepaper.pdf,Dell official whitepaper,cooling context only,C6420 air/liquid options,multiple,not used for geometry,context only; not used as dimension authority,Liquid cooling exists as option; target uses air cooling based on locked photos,high context; not chosen configuration,200
https://newserverlife.com/configure/dell-poweredge-c6400-24sff-x4-c6420/,https://newserverlife.com/upload/iblock/619/C6400.png,sources/third_party/nsl-C6400.png,Third party original product photo,front elevated; top; branding; black bay fillers,C6420 nodes in C6400,4,24x2.5 enclosure; front NSL photo shows fillers,,"Original resolution [1813, 793]; no horizontal flip v002: plastic blanks on source front are superseded by user-requested normal carriers; source remains for shell, ears, lid and locked rear.",high visual structure; unknown NIC chip identity,200
https://newserverlife.com/configure/dell-poweredge-c6400-24sff-x4-c6420/,https://newserverlife.com/upload/iblock/6a5/_6400_back.png,sources/third_party/nsl-_6400_back.png,Third party original product photo,rear elevated; 4 nodes; 2 central EPP2400W; dualSFP/node,C6420 nodes in C6400,4,24x2.5 enclosure; front NSL photo shows fillers,,"Original resolution [1443, 721]; no horizontal flip v002: plastic blanks on source front are superseded by user-requested normal carriers; source remains for shell, ears, lid and locked rear.",high visual structure; unknown NIC chip identity,200
