face,component,count,rows,columns,left_to_right_order,relative_size,position,depth_or_relief,color_material,source_url,confidence
front,front rack ears,2,1,2,left ear then right ear,19.2 mm lateral extension each,full height at outer edges,front-only separate thick geometry with horizontal release latch,black textured plastic/painted metal,Dell technical guide p13 and exact front photos,verified
front,control strip,1,1,1,Dell/power/NMI/VGA/LCD buttons/PowerEdge R730/LCD,about 29 percent of body width,upper-left,recessed ports and inset display,black plastic with white factory marks and blue LCD,Dell technical guide p13; owner's manual pp11-12; exact photo,verified
front,Dell logo,1,1,1,left of power button,small,upper-left control strip,flush print,white on black,exact R730 16SFF front photo,verified
front,power button,1,1,1,after Dell logo,small round,upper-left control strip,recessed circular button,black with green LED ring,Dell owner's manual front-panel table,verified
front,VGA connector,1,1,1,after ID controls,DB15,upper control strip,recessed port geometry,dark connector with silver rim,Dell owner's manual front-panel table and exact photo,verified
front,LCD menu buttons,3,1,3,left/right/check cluster,small,upper control strip,three raised keys,black with white arrows,Dell owner's manual and exact photo,verified
front,PowerEdge R730 badge and LCD,1,1,1,badge above blue LCD,medium,upper control strip near drive boundary,inset display and flush text,white text and blue display,Dell official and exact photo,verified
front,optical drive slot,1,1,1,left zone,wide thin,left center,shallow recessed tray,black plastic,Dell owner's manual and exact photo,verified
front,vFlash slot,1,1,1,above USB cluster,small vertical,lower-left,recessed slot,black,Dell owner's manual and exact photo,verified
front,USB ports including iDRAC Direct,2,2,1,upper then lower,small vertical,lower-left,separate recessed port geometry,black with silver tongues,Dell owner's manual and exact photo,verified
front,square-hole intake grille,1,1,1,left zone,large,lower-left center,recessed perforated panel,black opaque depth with square holes,Dell technical guide and exact photo,verified
front,2.5-inch hot-plug carriers,16,1,16,slots 0 through 15 from left to right within drive area,narrow vertical carriers,right 71 percent of body width,individual recessed bay plus protruding handle/latch,black and silver with white SAS labels,Dell technical guide p13 and exact 16SFF photos,verified
front,carrier status lights,32,2,16,green pairs over every carrier,tiny,top of drive bank,small emissive lenses,green translucent pixels/geometry,exact photo and official render,verified
front,carrier honeycomb grilles,16,1,16,one per carrier,carrier-width,carrier mid/lower area,recessed perforation relief,black,Dell official render and exact photos,verified
front,carrier pull handles,16,1,16,one per carrier,carrier-width,lower/front of each carrier,separate protruding U/lever relief,dark gray/silver and black,Dell official render and exact photos,verified
front,slot numbers,16,1,16,0-15,small,above carrier row,flush label,white on black,Dell official render and exact photos,verified
front,Intel badge,1,1,1,none,small,lower-right ear,flush label,blue/silver,exact front photos,verified
rear,half-height PCIe blank covers,3,3,1,slots 1 then 2 then 3 top-to-bottom,short wide,left upper,individual shallow raised vented covers,galvanized silver with black vent slots,Dell Figure 5 and exact rear photo,verified
rear,riser 2 blank covers,2,2,1,slot 4 then 5 top-to-bottom,wide,upper middle-left,individual shallow raised vented covers,galvanized silver with black vent slots,Dell Figure 5 and exact rear photo,verified
rear,riser 3 blank covers,2,2,1,slot 6 then 7 top-to-bottom,wide,upper middle-right,individual shallow raised vented covers,galvanized silver with black vent slots,Dell Figure 5 and exact rear photo,verified
rear,PCIe slot number legends,7,3 groups,7,1-3/4-5/6-7,small,beside each blank group,flush black print,black on silver,Dell Figure 5 and exact rear photo,verified
rear,upper-right chassis grille,1,1,1,none,medium,upper-right above PSUs,real perforated depth,silver square-hole grille,Dell Figure 5 and exact rear photo,verified
rear,system ID button and status connector,2,1,2,button then connector,tiny,lower far left,recessed/raised,blue ring and black/silver,Dell owner's manual back-panel table and Figure 5,verified
rear,iDRAC8 Enterprise port,1,1,1,after ID controls,RJ45,lower-left,recessed port geometry,black with white iDRAC label,Dell owner's manual and Figure 5,verified
rear,serial connector,1,1,1,after iDRAC,DB9,lower-left,recessed port geometry,teal surround and dark connector,Dell owner's manual and Figure 5,verified
rear,VGA connector,1,1,1,after serial,DB15,lower-left,recessed port geometry,blue surround and dark connector,Dell owner's manual and Figure 5,verified
