face,component,count,rows,columns,left_to_right_order,relative_size,position,depth_or_relief,color_material,source_url,confidence,verification_method,evidence,expected_count_check,standard_status,web_status,residual_risk
front,rack ears,2,1,2,left ear; right ear,full-height narrow,outer edges,front-only protruding separate geometry,black molded/stamped metal,https://www.ebay.com/itm/387258968614,verified,source-locked OPAQUE texture + separate silhouette/relief geometry,views/front.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-000.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 2 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
front,LFF carrier assemblies,8,2,4,slots 0-3 upper; 4-7 lower,each quarter of bay field,lower 62 percent of face,recessed bay plus separate carrier and swing handle,black plastic with hex grille and silver latch,https://www.ebay.com/itm/387258968614,verified,source-locked OPAQUE texture + separate silhouette/relief geometry,views/front.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-000.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 8 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
front,control and branding block,1,1,1,Dell; buttons; VGA; LCD arrows; PowerEdge R730; pull tag,about 31 percent of body width,upper left,shallow inset panel,black plastic with white markings and blue tag,https://www.youtube.com/watch?v=CVg_X-OO9Kc,verified,source-locked OPAQUE texture; relief retained where physical,views/front.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-000.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 1 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
front,iDRAC Direct and USB block,1,1,1,two USB ports beneath iDRAC Direct icon,about 12 percent width,upper center,shallow inset ports,black plastic and dark connectors,https://www.ebay.com/itm/387258968614,verified,source-locked OPAQUE texture + non-coplanar relief/recess geometry,views/front.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-000.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 1 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
front,upper ventilation grille,1,1,1,continuous square perforation,about 20 percent width,upper right-center,recessed airflow grille,black,https://www.ebay.com/itm/387258968614,verified,source-locked OPAQUE texture + non-coplanar relief/recess geometry,views/front.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-000.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 1 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
front,optical drive,1,1,1,Dell DVD-ROM slot,about 22 percent width,upper right,shallow recessed separate tray,black plastic,https://www.ebay.com/itm/387258968614,verified,source-locked OPAQUE texture + separate silhouette/relief geometry,views/front.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-000.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 1 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
front,Intel badge,1,1,1,Intel Xeon badge,small,right rack ear lower,flush label,blue/silver,https://www.ebay.com/itm/387258968614,verified,source-locked OPAQUE texture; relief retained where physical,views/front.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-000.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 1 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
rear,half-height PCIe blanks,3,3,1,slots 1;2;3,small,left upper stack,recessed stamped blank geometry,galvanized steel with rectangular vents,https://www.dell.com/support/manuals/en-us/poweredge-r730/r730_ompublication/back-panel,verified,source-locked OPAQUE texture + separate silhouette/relief geometry,views/rear.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-180.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 3 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
rear,full-height PCIe blanks,4,2,2,slots 4-5;6-7,large,upper middle and upper right,recessed stamped blank geometry,galvanized steel with rectangular vents,https://www.dell.com/support/manuals/en-us/poweredge-r730/r730_ompublication/back-panel,verified,source-locked OPAQUE texture + separate silhouette/relief geometry,views/rear.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-180.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 4 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
rear,riser separator/latches,3,1,3,between slot groups,thin vertical,upper rear,raised rails and blue release accents,galvanized steel/blue plastic,https://www.ebay.com/itm/387258968614,verified,source-locked OPAQUE texture + separate silhouette/relief geometry,views/rear.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-180.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 3 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
