face,component,count,rows,columns,left_to_right_order,relative_size,position,depth_or_relief,color_material,source_url,confidence
front,front mounting brackets/ears,2,1,2,left ear then right ear,each extends body to 19-inch rack span,outer sides at front plane,separate bent sheet metal with two true rounded-rectangle rack holes and three large attachment screws,light silver galvanized metal,https://www.juniper.net/content/dam/www/assets/images/us/en/image-library/mx-series/mx204/mx204-front-high.jpg,VERIFIED
front,perforated intake field,1,1,1,continuous behind component islands,most of 17.6-inch body face,full body face,opaque panel with dense circular perforation relief/dark recesses,gray painted metal with black holes,https://www.juniper.net/content/dam/www/assets/images/us/en/image-library/mx-series/mx204/mx204-front-high.jpg,VERIFIED
front,factory identity marks,2,1,2,Juniper Networks upper-left then MX204 upper-right,small readable marks,top edge of chassis front,flush printing,white factory print on gray metal,https://www.juniper.net/content/dam/www/assets/images/us/en/image-library/mx-series/mx204/mx204-front-high.jpg,VERIFIED
front,ESD point and GM/PTP port,2,1,2,ESD point then GM/PTP,small,far left lower front,recessed connector/metal stud,metal and black connector,https://www.juniper.net/documentation/us/en/hardware/mx204/topics/topic-map/mx204-connecting-to-network.html,VERIFIED
front,rate-selectable QSFP28/QSFP+ ports,4,1,4,ports 0 1 2 3,medium,front left-center,recessed cages,black/steel cages and empty apertures,https://www.juniper.net/documentation/us/en/hardware/mx204/topics/topic-map/mx204-chassis.html,VERIFIED
front,10-Gigabit Ethernet SFP+ ports,8,2,4,"top row 4 6 8 10; bottom row 5 7 9 11",small,center-left,recessed stacked cages,black/steel cages with silver latch detail,https://www.juniper.net/documentation/us/en/hardware/mx204/topics/topic-map/mx204-connecting-to-network.html,VERIFIED
front,RJ45 service/timing ports,4,1,4,MGMT BITS CON ToD,small,center-right,recessed jacks with status windows,black ports with silver shielding,https://www.juniper.net/documentation/us/en/hardware/mx204/topics/topic-map/mx204-connecting-to-network.html,VERIFIED
front,USB Type-A port,1,1,1,after ToD,small,right of service RJ45 group,recessed vertical connector,black/silver,https://www.juniper.net/documentation/us/en/hardware/mx204/topics/topic-map/mx204-connecting-to-network.html,VERIFIED
front,1PPS and 10MHz timing connectors,4,2,2,"IN pair above/left; OUT pair below/right as photographed",small,right of USB,four protruding/recessed DIN 1.0/2.3 coax connectors,gold/brass and white ceramic,https://www.juniper.net/documentation/us/en/hardware/mx204/topics/topic-map/mx204-connecting-to-network.html,VERIFIED
front,status controls and LEDs,7,1,7,"OK/FAIL ONLINE ALM SSD0 SSD1 OFFLINE button RESET plus surrounding legends",tiny,far-right lower front,flush/recessed indicators and button,dark lenses with white labels,https://www.juniper.net/documentation/us/en/hardware/mx204/topics/topic-map/mx204-connecting-to-network.html,VERIFIED
rear,grounding/ESD panel,1,1,1,leftmost chassis block,large,rear left,flat panel with two threaded grounding studs and one ESD point,dark gray metal/silver studs,https://www.juniper.net/documentation/us/en/hardware/mx204/topics/topic-map/mx204-site-guidelines-req.html,VERIFIED
rear,JNP-FAN-1RU fan modules,3,1,3,slots 0 1 2,large,rear center-left,separate removable blocks with deep honeycomb openings and projecting latches,orange latch/black grille/gray frame,https://www.juniper.net/documentation/us/en/hardware/mx204/topics/topic-map/mx204-cooling-system.html,VERIFIED
