face,component,count,rows,columns,left_to_right_order,relative_size,position,depth_or_relief,color_material,source_url,confidence
front,front rack latch/ear assemblies,2,1,2,left and right,19.2 mm lateral extension each,outer edges,separate protruding geometry,black plastic and dark metal,user configuration lock + official dimension Figure 18,verified
front,LFF carriers,8,2,4,0-3 top then 4-7 bottom,equal 3.5-inch modules,full lower front,recessed bay with separate carrier face and handle,silver/black plastic with small green/amber indicators,user configuration lock + Owner's Manual Figure 1,verified
front,LFF carrier handles,8,2,4,one per carrier,wide horizontal handle,carrier face,raised separate geometry,silver painted plastic with black apertures,user configuration lock,verified
front,control panel assembly,1,1,1,left upper band,about 39 percent of body width,upper-left,separate shallow black panel,black plastic,Owner's Manual Figure 1 + user lock,verified
front,power button and NMI,2,1,2,power then NMI,small,far upper-left,shallow circular geometry,black/silver with green indicator,Owner's Manual pages 8-9,verified
front,VGA connector,1,1,1,after ID controls,DB15,upper-left control band,recessed connector,blue/dark socket,Owner's Manual pages 8-9,verified
front,LCD menu buttons,3,1,3,left/select/right,small,control band center,recessed/raised buttons,black,Owner's Manual Figure 5 + technical guide Figure 9,verified
front,LCD panel,1,1,1,after menu buttons,medium blue window,upper band,shallow recess,blue/black with PowerEdge R720 marking,user lock + technical guide Figure 9,verified
front,vFlash slot,1,1,1,before USB group,small,upper band center-right,recessed slot,black/user lock + technical guide Table 4,user configuration lock + technical guide,verified
front,USB 2.0 connectors,2,1,2,left-to-right pair,small,upper band center-right,recessed ports,black,user lock + Owner's Manual item 11,verified
front,optical drive,1,1,1,right upper band,wide slimline,upper-right,separate shallow tray,black,user lock + Owner's Manual item 8,verified
front,Dell logo,1,1,1,left control band,small,upper-left printing/relief,flush factory mark,white,Dell technical guide Figure 9,verified
front,PowerEdge R720 badge,1,1,1,control panel,small,upper band,flush factory print,white,user lock + technical guide Figure 9,verified
rear,low-profile PCIe blanking plates,3,3,1,slots 1-3 top-to-bottom,equal narrow plates,upper-left,recessed plate with perforation and latch,silver galvanized steel,user lock + Owner's Manual Figure 7,verified
rear,full-height PCIe blanking plates,4,2,2,slots 4-5 then 6-7,equal long plates,upper-center and upper-right,recessed plate with perforation and latch,silver galvanized steel,user lock + Owner's Manual Figure 7,verified
rear,rear carrying handle,1,1,1,horizontal,wide,center-lower,raised black handle with two mounts,black plastic,user lock + official Figure 7,verified
rear,system identification button,1,1,1,first lower control,small circle,far lower-left,shallow button,silver/black,Owner's Manual Figure 7 item 1,verified
rear,system identification connector,1,1,1,after button,small,lower-left,recessed socket,black,Owner's Manual Figure 7 item 2,verified
rear,iDRAC7 Enterprise RJ45,1,1,1,after system ID,RJ45,lower-left,recessed connector,black with green label,user lock + Owner's Manual item 3,verified
rear,serial connector,1,1,1,after iDRAC,DB9,lower-left,recessed connector,teal/dark,user lock + Owner's Manual item 5,verified
rear,VGA connector,1,1,1,after serial,DB15,lower-left-center,recessed connector,blue/dark,user lock + Owner's Manual item 6,verified
rear,USB 2.0 connectors,2,1,2,after VGA,small pair,lower center-left,recessed ports,black,user lock + Owner's Manual item 7,verified
rear,network daughter card RJ45,4,1,4,left-to-right identical,medium,lower-center,separate recessed port block,black metal sockets,user lock + Owner's Manual item 8,verified
rear,AC PSU modules,2,1,2,PSU1 then PSU2,large,lower-right,separate hot-plug blocks protruding behind rear base,silver/black with orange latch,user lock + Owner's Manual items 10-11,verified
rear,IEC AC inlets,2,1,2,one per PSU,medium,PSU rear faces,recessed three-pin geometry,black,user lock + AC configuration requirement,verified
rear,PSU fans,2,1,2,one per PSU,large circular,PSU rear faces,separate fan hub/blades/grille geometry,black/silver,user lock,verified
rear,blank ventilation field,1,1,1,right upper corner,medium,above PSUs,perforated relief,silver galvanized steel,user lock + official Figure 7,verified
rear,rear body end strips,2,1,2,left and right,narrow,within 444 mm body width,vertical closed structure,dark gray/black,user lock + official Figure 7,verified
left,upper cover seam and hook tabs,1,1,1,front-to-rear,long,upper edge,stamped/recessed geometry,galvanized steel,StorageReview side photograph,verified
left,rail mounting slots/hooks,4,1,4,independent pattern,small,upper side band,stamped shallow relief,galvanized steel,StorageReview side + rails photographs,verified
left,regulatory labels,3,1,3,source order,small-to-medium,lower side center,flush texture only,black/white factory labels,StorageReview side/rails photographs,verified
left,side screws/fasteners,8,1,8,source-spaced,small,side sheet,shallow round geometry,galvanized/steel,StorageReview side photograph,verified
right,upper cover seam and hook tabs,1,1,1,front-to-rear,long,upper edge,stamped/recessed geometry,galvanized steel,Walmart R720 side photograph,verified
right,rail mounting slots/hooks,5,1,5,independent non-mirrored pattern,small,upper side band,stamped shallow relief,galvanized steel,Walmart R720 side photograph,verified
right,side screws/fasteners,9,1,9,source-spaced,small,side sheet,shallow round geometry,galvanized/steel,Walmart R720 side photograph,verified
right,large regulatory labels,0,0,0,none,none,none,none,none,Walmart R720 side photograph,verified
top,removable top cover,1,1,1,full panel,large,body top,separate sheet with perimeter seam,galvanized steel,exact-LFF ECS/Flagship/Innercomm photographs,verified
top,black latch,1,1,1,rear-biased and left of center,medium,rear half,raised recessed latch assembly,black plastic/exposed metal,exact-LFF ECS + Innercomm photographs,verified
top,front information label band,1,1,1,transverse,wide/front shallow,front section,flush texture only,white/orange/black factory label,exact-LFF ECS + Innercomm photographs,verified
top,front transverse ventilation,1,1,1,perforated band,wide,near front edge,recessed/perforated relief,galvanized steel,exact-LFF ECS + Flagship photographs,verified
top,sparse cover fasteners,6,2,3,source-spaced,small,cover,shallow round geometry,steel,exact-LFF ECS + Innercomm photographs,verified
bottom,conservative fallback sheet,1,1,1,none,444x702 body footprint,entire underside,closed flat opaque geometry,galvanized steel,generic-bottom fallback after documented search,controlled-fallback
bottom,unsupported underside identifiers,0,0,0,none,none,none,none,none,bottom search log,controlled-fallback

