face,component,count,rows,columns,left_to_right_order,relative_size,position,depth_or_relief,color_material,source_url,confidence
front,3.5-inch hot-swap carrier fronts,12,3,4,"columns 1-4; rows top-middle-bottom","four equal LFF groups","between rack latches","individual recessed bays with projecting handles and seams","black plastic and dark honeycomb grille; red vertical accents",https://lenovopress.lenovo.com/3dtours/sr655/,VERIFIED
front,left rack latch,1,1,1,"leftmost","full 2U height","front-left","separate projecting latch/ear assembly","black molded plastic",https://pubs.lenovo.com/sr655/server_front_view,VERIFIED
front,front VGA connector,1,1,1,"on left latch","DB15","upper left latch","recessed connector with screw bosses","blue/dark connector in black panel",https://lenovopress.lenovo.com/lp1161.pdf,VERIFIED
front,ThinkSystem logo,1,1,1,"on left latch","vertical wordmark","lower left latch","flush factory marking","white on black",https://lenovopress.lenovo.com/3dtours/sr655/,VERIFIED
front,right rack latch and I/O module,1,1,1,"rightmost","full 2U height","front-right","separate projecting latch/ear assembly","black molded plastic",https://pubs.lenovo.com/sr655/server_front_view,VERIFIED
front,front USB-A ports,2,2,1,"stacked vertically","standard USB-A","right I/O module mid-height","recessed ports","blue inserts in black panel",https://lenovopress.lenovo.com/lp1161.pdf,VERIFIED
front,power and status controls,4,2,2,"power; ID; network activity; error","small controls/LEDs","upper right I/O module","flush/recessed","gray/black with small status colors",https://pubs.lenovo.com/sr655/server_front_view,VERIFIED
front,pull-out information tab,1,1,1,"below controls","thin horizontal tab","right I/O module","slightly recessed pull tab","dark gray/black",https://pubs.lenovo.com/sr655/server_front_view,VERIFIED
front,SR655 model badge,1,1,1,"right latch lower area","small badge","lower right","flush factory print","light gray on black",https://lenovopress.lenovo.com/3dtours/sr655/,VERIFIED
rear,PCIe slot blanking covers,8,3,3,"bank A slots 1-3; bank B slots 4-6; bank C slots 7-8","full-height horizontal slots","upper two-thirds of rear","separate perforated covers with rails and latch seams","silver metal with black honeycomb openings",https://lenovopress.lenovo.com/lp1161.pdf,VERIFIED
rear,PCIe bank dividers and release handles,3,1,3,"between 3+3+2 slot banks","vertical structural strips","upper rear","projecting handles/dividers","silver stamped metal",https://pubs.lenovo.com/sr655/server_rear_view,VERIFIED
rear,OCP 3.0 Ethernet ports,2,1,2,"far left lower rear","two equal rectangular ports","lower-left","recessed in adapter cage","dark ports in silver adapter",https://lenovopress.lenovo.com/lp1161.pdf,VERIFIED
rear,system error LED,1,1,1,"after OCP ports","small round indicator","lower-left","flush","dark/amber indicator",https://lenovopress.lenovo.com/lp1161.pdf,VERIFIED
rear,BMC management RJ45,1,1,1,"after error LED","standard RJ45","lower rear left-center","recessed","black connector with metal shell",https://pubs.lenovo.com/sr655/server_rear_view,VERIFIED
rear,locator LED,1,1,1,"after BMC","small indicator","lower rear","flush","dark/blue indicator",https://lenovopress.lenovo.com/lp1161.pdf,VERIFIED
rear,VGA connector,1,1,1,"after locator LED","DB15","lower center-left","recessed with screw bosses","blue connector in silver panel",https://pubs.lenovo.com/sr655/server_rear_view,VERIFIED
rear,USB-A ports,2,2,1,"stacked","standard USB-A","lower center","recessed","blue inserts in silver panel",https://pubs.lenovo.com/sr655/server_rear_view,VERIFIED
rear,serial connector,1,1,1,"after USB","DB9","lower center-right","recessed with screw bosses","dark connector in silver panel",https://pubs.lenovo.com/sr655/server_rear_view,VERIFIED
rear,NMI button,1,1,1,"before PSUs","small round button","lower right-center","flush/recessed","dark button in silver panel",https://pubs.lenovo.com/sr655/server_rear_view,VERIFIED
rear,750W AC hot-swap PSUs,2,1,2,"PSU 1 and PSU 2 at right","two identical modules","lower-right","separate protruding modules/handles","silver/black fan face; 750W AC label; C14 inlet; orange handle",https://lenovopress.lenovo.com/lp1161.pdf,VERIFIED
rear,rear drive bays,0,0,0,"none","none","none","none","none",https://lenovopress.lenovo.com/lp1161.pdf,VERIFIED
rear,rear rack ears,0,0,0,"none","none","none","none","none",https://pubs.lenovo.com/sr655/server_rear_view,VERIFIED
right,side cover panels,2,1,2,"front and rear sheet-metal panels","full depth x 2U","right side","flush with longitudinal top rail lip and center seam","silver galvanized stamped metal",https://lenovopress.lenovo.com/3dtours/sr655/,VERIFIED
right,circular raised bosses,4,1,4,"distributed along lower half","small round stampings","right side","shallow outward relief","silver metal",https://lenovopress.lenovo.com/3dtours/sr655/,VERIFIED
right,yellow weight/caution label,1,1,1,"near front third","small rectangle","upper/front right side","flush factory label","yellow/black",https://lenovopress.lenovo.com/3dtours/sr655/,VERIFIED
right,side screws and holes,9,1,9,"asymmetric factory pattern","small","right side","flush/recessed","silver/dark",https://lenovopress.lenovo.com/3dtours/sr655/,VERIFIED
left,side cover panels,2,1,2,"front and rear sheet-metal panels","full depth x 2U","left side","flush with longitudinal top rail lip and center seam","silver galvanized stamped metal",https://lenovopress.lenovo.com/3dtours/sr655/,VERIFIED
left,circular raised bosses,4,1,4,"distributed along lower half","small round stampings","left side","shallow outward relief","silver metal",https://lenovopress.lenovo.com/3dtours/sr655/,VERIFIED
left,side slots/screws/holes,12,1,12,"two small rectangular slots near rear plus asymmetric holes","small","left side","flush/recessed","silver/dark",https://lenovopress.lenovo.com/3dtours/sr655/,VERIFIED
top,closed top cover,1,1,1,"entire face","444.6 x 730 mm body envelope","top","raised stamped panels and overlapping cover seams","silver galvanized sheet metal with real grain",https://www.ebay.com/itm/206238343567,VERIFIED
top,top release latch,1,1,1,"near rear/right zone","elongated rectangle","top near rear","recessed black latch with blue release","black/blue plastic in silver cover",https://www.ebay.com/itm/206238343567,VERIFIED
top,top ventilation field,1,1,1,"near rear edge","wide rectangular perforation field","top rear","through/perforated relief","dark perforations in silver cover",https://lenovopress.lenovo.com/3dtours/sr655/,VERIFIED
top,raised rectangular stampings and seams,5,2,3,"large center rectangle plus longitudinal/cross seams","large","top center/front","shallow stamped relief","silver sheet metal",https://lenovopress.lenovo.com/3dtours/sr655/,VERIFIED
top,factory service-label block,1,1,1,"large multi-panel label","large rectangle","top central/front half","flush factory label","black/white/blue service graphics; no invented serial content",https://www.ebay.com/itm/206238343567,VERIFIED
bottom,bottom sheet-metal panel,1,1,1,"entire face","444.6 x 730 mm body envelope","bottom","closed opaque plate","plain gray/silver galvanized metal",https://lenovopress.lenovo.com/3dtours/sr655/,VERIFIED
