face,component,expected_count,expected_order,expected_relief,source,comparison,rotation_evidence,status,review_note
front,rack ears,2,left ear; chassis; right ear,front-only thick release-handle geometry,source/originals/user-config-lock.png,qa/rotation-review-20260827/final/comparisons/front.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
front,control and media zone,1,upper control strip; DVD; lower I/O+grille,recessed ports/buttons and perforated intake,https://downloads.dell.com/manuals/all-products/esuprt_ser_stor_net/esuprt_poweredge/poweredge-r720_reference-guide_en-us.pdf,qa/rotation-review-20260827/final/comparisons/front.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
front,2.5-inch drive carriers,16,bay 0 through bay 15 in one horizontal row,sixteen separate vertical recessed carriers with individual pull handles and indicator heads,source/originals/user-config-lock.png,qa/rotation-review-20260827/final/comparisons/front.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
front,factory branding,2,DELL; PowerEdge R720,flush/raised print and badge,source/third-party/ebay394100550218-02-front.jpg,qa/rotation-review-20260827/final/comparisons/front.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
front,front I/O,7,power; NMI; ID; VGA; LCD buttons/display; info tag; vFlash+2 USB,real recessed holes/connectors and slide-out tag,https://www.dell.com/support/manuals/en-us/poweredge-r720/720720xdom/front-panel-features-and-indicators,qa/rotation-review-20260827/final/comparisons/front.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
front,bezel,0,none,absent,source/originals/user-config-lock.png,qa/rotation-review-20260827/final/comparisons/front.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
rear,low-profile PCIe blanks,3,slots 1;2;3,three separate perforated recessed plates,https://www.dell.com/support/manuals/en-us/poweredge-r720/720720xdom/back-panel-features-and-indicators,qa/rotation-review-20260827/final/comparisons/rear.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
rear,full-height PCIe blanks,4,slots 4-5 center; slots 6-7 right,four separate perforated recessed plates with blue riser latches,source/originals/user-config-lock.png,qa/rotation-review-20260827/final/comparisons/rear.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
rear,system ID group,2,round ID button; status connector,button and socket recess,https://www.dell.com/support/manuals/en-us/poweredge-r720/720720xdom/back-panel-features-and-indicators,qa/rotation-review-20260827/final/comparisons/rear.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
rear,dedicated iDRAC7 port,1,iDRAC RJ45,recessed port with teal backing,source/originals/user-config-lock.png,qa/rotation-review-20260827/final/comparisons/rear.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
rear,serial VGA USB,4,DB9 serial; VGA; USB; USB,recessed connector geometry,source/originals/user-config-lock.png,qa/rotation-review-20260827/final/comparisons/rear.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
rear,integrated Ethernet NDC,4,RJ45 1;2;3;4,four separate recessed RJ45 cavities with metal surrounds,source/originals/user-config-lock.png,qa/rotation-review-20260827/final/comparisons/rear.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
rear,retention handle,1,central black handle,protruding tubular U-handle,qa/reference/official-tech-guide-rear-crop.png,qa/rotation-review-20260827/final/comparisons/rear.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
rear,AC PSUs,2,PSU1; PSU2,two separately removable blocks with IEC inlet orange latch translucent handle fan grille and recessed fan,qa/reference/official-tech-guide-rear-crop.png,qa/rotation-review-20260827/final/comparisons/rear.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
rear,upper right vent filler,1,perforated filler,deep square perforation and two round holes,qa/reference/official-tech-guide-rear-crop.png,qa/rotation-review-20260827/final/comparisons/rear.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
rear,rear drive bays,0,none,absent,https://www.dell.com/support/manuals/en-us/poweredge-r720/720720xdom/back-panel-features-and-indicators,qa/rotation-review-20260827/final/comparisons/rear.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
left,side wall,1,left wall,folded top/bottom hems and independent stamped rail attachment features,source/third-party/ebay394100550218-04-internal.jpg,qa/rotation-review-20260827/final/comparisons/left.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
left,rail J-slots and studs,4,front to rear independent placements,stamped/protruding mechanical features,source/pdf-pages/readyrails-b6-p01.png,qa/rotation-review-20260827/final/comparisons/left.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
right,side wall,1,right wall,stepped cover seam and two-height side panels,source/third-party/walmart-r720-side-angle.jpg,qa/rotation-review-20260827/final/comparisons/right.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
right,rail J-slots and studs,4,front to rear independent placements,stamped/protruding mechanical features,source/pdf-pages/readyrails-b6-p02.png,qa/rotation-review-20260827/final/comparisons/right.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
top,removable cover,1,cover,separate thin cover plate with folded perimeter,source/third-party/ebay394100550218-01-front-top.jpg,qa/rotation-review-20260827/final/comparisons/top.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
top,cover latch,1,recessed black latch,recessed handle and raised rim,source/third-party/ebay394100550218-01-front-top.jpg,qa/rotation-review-20260827/final/comparisons/top.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
top,embossed Dell mark,1,DELL emboss,shallow stamped relief,source/third-party/ebay394100550218-01-front-top.jpg,qa/rotation-review-20260827/final/comparisons/top.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
top,front fixed strip,1,instruction labels then long vent row,lower step with perforation and label panels,source/third-party/ebay394100550218-01-front-top.jpg,qa/rotation-review-20260827/final/comparisons/top.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
bottom,conservative underside,1,plain panel,closed opaque plate preserving side silhouette only,source/bottom-search-log.md,qa/rotation-review-20260827/final/comparisons/bottom.png,qa/rotation-review-20260827/final/rotation/,PASS_WITH_BOTTOM_FALLBACK,Conservative bottom-only fallback matches verified ratio/material and introduces no unsupported identity detail.
