face,component,count,rows,columns,left_to_right_order,relative_size,position,depth_or_relief,color_material,source_url,confidence
front,front rack ears/control endcaps,2,1,2,"left status/control ear; right power/USB/iDRAC ear","24 mm extension each beyond 434 mm body","outermost left and right","separate front-only protruding geometry; no rear ears","black painted plastic/metal with silver chassis brackets",https://www.etb-tech.com/dell-poweredge-r240-1x4-3-5-1-x-e-2224-3-4ghz-quad-core-32gb-4-x-12tb-7-2k-sata-perc-h330-idrac9-basic-svr-r240-005.html,verified
front,3.5-inch hot-swap carriers,4,1,4,"bay 0; bay 1; bay 2; bay 3","four equal LFF modules filling the body width between control ears","single lower row","individual recessed carrier bodies with separate handles and seams","black plastic; honeycomb windows; silver horizontal handle rails; orange release rings; green status legends",https://www.delltechnologies.com/asset/en-us/products/servers/technical-support/poweredge-r240-technical-guide.pdf,verified
front,upper ventilation band,1,1,1,"continuous with optical-drive/blank region at left","nearly full body width","above LFF carriers","recessed square-perforation band","black painted metal",https://newserverlife.com/configure/dell-poweredge-r240_4lff/,verified
front,optical-drive position/blank,1,1,1,"above left half of first drive region","low wide rectangle","upper front left-of-center","shallow inset panel with small release/detail marks","black painted metal/plastic",https://www.delltechnologies.com/asset/en-us/products/servers/technical-support/poweredge-r240-technical-guide.pdf,verified
front,right control ports,3,1,1,"power/status button; USB-A; micro-USB iDRAC Direct","narrow vertical stack","right rack ear/control panel","recessed ports and protruding button rim","black plastic with green power ring and metallic connectors",https://www.delltechnologies.com/asset/en-us/products/servers/technical-support/poweredge-r240-technical-guide.pdf,verified
front,left status/control strip,1,1,1,"vertical blue system-status light and information control area","narrow vertical strip","left rack ear/control panel","slightly recessed","black with blue light bar",https://www.delltechnologies.com/asset/en-us/products/servers/technical-support/poweredge-r240-technical-guide.pdf,verified
front,information tag and model badge,1,1,1,"DELL EMC; PowerEdge R240","thin pull-out tab","under/right of bay 3 near right control ear","projects below/front of carrier plane","black plastic; white factory branding; blue accent",https://newserverlife.com/configure/dell-poweredge-r240_4lff/,verified
rear,onboard serial and VGA,2,2,1,"serial DB9 above; VGA DB15 below","small left stack","rear screen-left","connector recess with screw posts","silver plate; teal serial insert; blue VGA insert",https://www.delltechnologies.com/asset/en-us/products/servers/technical-support/poweredge-r240-technical-guide.pdf,verified
rear,onboard network and USB,5,2,3,"top: Gb1; Gb2; bottom: iDRAC; USB3; USB3","dense left I/O group","rear left-of-center","recessed connector cavities","silver plate; black RJ45; blue USB tongues",https://www.delltechnologies.com/asset/en-us/products/servers/technical-support/poweredge-r240-technical-guide.pdf,verified
rear,system ID/CMA controls,2,1,2,"CMA/status cable port; system identification button/light","small circular pair","right edge of onboard I/O group","recessed/protruding circular details","black/blue on silver",https://www.delltechnologies.com/asset/en-us/products/servers/technical-support/poweredge-r240-technical-guide.pdf,verified
rear,blue riser retention latch,1,1,1,"single blue latch","small","between onboard I/O and PCIe openings","projects outward from rear plate","blue plastic with silver carrier",https://www.delltechnologies.com/asset/en-us/products/servers/technical-support/poweredge-r240-technical-guide.pdf,verified
rear,PCIe blanking plates,2,1,2,"half-height slot; full-height slot","one shorter and one longer","rear center","separate recessed blank plates with perforation rows and edge brackets","galvanized silver",https://www.delltechnologies.com/asset/en-us/products/servers/technical-support/poweredge-r240-technical-guide.pdf,verified
rear,lower ventilation bank,1,1,1,"continuous below the PCIe openings","wide low rectangle","rear center-lower","dense square perforation relief","galvanized silver with dark openings",https://newserverlife.com/configure/dell-poweredge-r240_4lff/,verified
rear,fixed AC PSU,1,1,1,"IEC C14 inlet; green BIST LED; black BIST button; twin exhaust fields; black cable strap","rightmost quarter","rear screen-right","separate recessed PSU block; exhaust depth and protruding strap","galvanized silver; black inlet/strap; green indicator",https://www.servethehome.com/dell-emc-poweredge-r240-review-1u-entry-server/,verified
rear,rear rack ears,0,0,0,"none","none","none","none","none",https://www.delltechnologies.com/asset/en-us/products/servers/technical-support/poweredge-r240-technical-guide.pdf,verified
right,side shell and rail features,1,1,1,"front step/seam; independent circular rail pins; small punched holes; rear lip","full 534.496 mm body depth","physical right side","thin sheet-metal relief and discrete protruding rail pins","galvanized silver with black mounting points",https://www.etb-tech.com/dell-poweredge-r240-1x4-3-5-1-x-e-2224-3-4ghz-quad-core-32gb-4-x-12tb-7-2k-sata-perc-h330-idrac9-basic-svr-r240-005.html,verified-from-multiple-angles
left,side shell and rail features,1,1,1,"front step/seam; independently positioned rail slots/pins; rear lip; no copied right-side label","full 534.496 mm body depth","physical left side","thin sheet-metal relief; conservative independent mounting layout","galvanized silver with black mounting points",https://techmikeny.com/products/dell-poweredge-r240-server-4-bay-lff-4-00ghz-6-core-24gb-ram-40tb-hdds-rails,verified-from-multiple-angles
top,removable main cover,1,1,1,"central black release latch; sparse screws; shallow pressed outlines; rear transverse vent row","majority of top","center/rear","separate shallow cover geometry with raised latch and stamped relief","galvanized silver; black latch",https://techmikeny.com/products/dell-poweredge-r240-server-4-bay-lff-4-00ghz-6-core-24gb-ram-40tb-hdds-rails,verified-from-multiple-angles
top,front fixed deck,1,1,1,"transverse seam; sparse holes/screws; small stamped rectangles","front quarter","behind front drive plane","slightly stepped sheet-metal geometry","galvanized silver",https://newserverlife.com/configure/dell-poweredge-r240_4lff/,verified-from-multiple-angles
top,factory labels,2,1,2,"black regulatory/caution label; small service label area","small","front-right half of main cover","flush printing only","factory black/white labels; no reseller mark",https://www.youtube.com/watch?v=FGw0nzLS6rU,verified
inside,cooling fans,4,1,4,"four single-rotor fan modules across fan wall","equal compact modules","mid-chassis transverse row","separate blocks; internal evidence only, not exposed through omitted cover","black plastic",https://www.delltechnologies.com/asset/en-us/products/servers/technical-support/poweredge-r240-technical-guide.pdf,verified
bottom,conservative fallback sheet,1,1,1,"no identity-bearing detail","434:534.496 ratio","entire underside","closed opaque plane; no silhouette change","galvanized silver sheet",https://cdn.awsli.com.br/2500x2500/2619/2619846/produto/244189486/servidor_dell_poweredge_r210_07-g4iahg6844.jpg,GENERIC_BOTTOM_FALLBACK
