face,component,count,rows,columns,left_to_right_order,relative_size,position,depth_or_relief,color_material,source_url,confidence
front,rack ears,2,1,2,left ear then right ear,24 mm lateral extension each,outer ends of front plane,separate 5 mm deep quick-release brackets with source-locked fastener/latch relief; no open front-facing through-hole is verified for this standard-ear configuration,silver metal with period HP/ProLiant labels,https://newserverlife.com/configure/hp_proliant_dl360_gen9_4lff/,verified
front,LFF hot-plug carrier assemblies,4,1,4,bay 1 to bay 4,equal large 3.5-inch bays,across lower front,separate recessed carriers with protruding pull handles and red release tabs,black polymer plus galvanized detail,https://support.hpe.com/hpesc/public/docDisplay?docId=c04444501&docLocale=en_US,verified
front,upper intake grille groups,4,1,4,aligned above each LFF carrier,one per carrier,front upper band,recessed perforated panels,black/dark gray,https://newserverlife.com/configure/hp_proliant_dl360_gen9_4lff/,verified
front,universal media and control strip,1,1,1,optical; pull tab; VGA; USB2; SID/control; USB3; status LEDs,spans upper center/right,above carriers,1-3 mm relief,black/silver plastic and metal,https://support.hpe.com/hpesc/public/docDisplay?docId=c04444501&docLocale=en_US,verified
front,USB 3.0 Type-A,1,1,1,blue connector,small,upper right control strip,recessed 2 mm,blue/black,https://support.hpe.com/hpesc/public/docDisplay?docId=c04444501&docLocale=en_US,verified
front,VGA and USB2 optional front connectors,2,1,2,VGA then USB2,small,upper center control strip,recessed 2 mm,blue/black,https://support.hpe.com/hpesc/public/docDisplay?docId=c04444501&docLocale=en_US,verified
front,UID NIC health power indicators,4,1,4,UID; NIC; health; power,very small,upper right control strip,flush lenses,blue/green/gray,https://images10.newegg.com/User-Manual/User_Manual_59-108-646.pdf,verified
rear,PCIe slot and blank assemblies,3,2,3,slot1 slot2 slot3,one full-height and two low-profile locations across upper left/middle,upper rear,separate recessed blanks and perforated brackets,silver metal,https://support.hpe.com/hpesc/public/docDisplay?docId=c04444501&docLocale=en_US,verified
rear,FlexibleLOM RJ45 ports,4,1,4,port1 to port4,standard RJ45,lower far left,recessed connector geometry,black with silver cage,https://www.hp-pro.net/netcat_files/186/199/HP_DL360Gen9_Rear_view_0.JPG,verified
rear,USB 3.0 Type-A,2,2,1,upper then lower,small vertical pair,left-center lower,recessed 3 mm,blue/black,https://support.hpe.com/hpesc/public/docDisplay?docId=c04444501&docLocale=en_US,verified
rear,DB9 serial connector,1,1,1,serial,medium,left-center lower,recessed with true pin relief,silver/black,https://www.hp-pro.net/netcat_files/186/199/HP_DL360Gen9_Rear_view_0.JPG,verified
rear,dedicated iLO 4 RJ45,1,1,1,iLO,standard RJ45,center lower,recessed connector geometry,black/silver,https://support.hpe.com/hpesc/public/docDisplay?docId=c04444501&docLocale=en_US,verified
rear,embedded 1GbE RJ45 ports,4,1,4,NIC1 to NIC4,standard RJ45,center-right lower,recessed connector geometry,black/silver,https://support.hpe.com/hpesc/public/docDisplay?docId=c04444501&docLocale=en_US,verified
rear,VGA,1,1,1,video,medium,right of embedded NIC group,recessed D-sub with pin relief,blue/silver,https://support.hpe.com/hpesc/public/docDisplay?docId=c04444501&docLocale=en_US,verified
rear,HPE Flex Slot AC PSU assemblies,2,1,2,PSU2 then PSU1,each roughly one fifth rear width combined,far right,separate blocks with protruding C13 inlet fan grille handle and red latch,black/silver with teal 500W badge,https://www.piospartslap.de/HP-Enterprise-ProLiant-DL360-G9-Server-2xE5-2690-V3-0GB-4-Bay-35-LFF-2x-25-Intern-SFF,verified
rear,PSU cooling fans,2,1,2,one per PSU,large within PSU face,far right rear,true recessed fan hubs and blades,black/charcoal,https://images10.newegg.com/User-Manual/User_Manual_59-108-646.pdf,verified
left,left chassis side rail features,1,1,1,front ear then three rail mount stations then rear edge,long 750 mm side,device left,shallow pressed seams slots and circular pins,galvanized steel,https://images10.newegg.com/User-Manual/User_Manual_59-108-646.pdf,verified from multiple exact angles/official drawing
right,right chassis side rail features,1,1,1,front ear then distinct right rail mount stations then PSU-side rear edge,long 750 mm side,device right,shallow pressed seams slots and circular pins,galvanized steel,https://images10.newegg.com/User-Manual/User_Manual_59-108-646.pdf,verified from multiple exact angles/official drawing
top,access-panel assembly,1,1,1,front fixed panel then removable rear cover,full body footprint,top,separate cover with transverse seam and latch,brushed galvanized steel,https://www.piospartslap.de/HP-Enterprise-ProLiant-DL360-G9-Server-2xE5-2690-V3-0GB-4-Bay-35-LFF-2x-25-Intern-SFF,verified
top,vent fields,4,2,2,front transverse band plus three rear fields,per source,top,perforated relief/holes,dark openings in galvanized steel,https://www.piospartslap.de/HP-Enterprise-ProLiant-DL360-G9-Server-2xE5-2690-V3-0GB-4-Bay-35-LFF-2x-25-Intern-SFF,verified
top,hood latch,1,1,1,latch,small,right-rear-of-center top,raised 4 mm,silver/charcoal,https://images10.newegg.com/User-Manual/User_Manual_59-108-646.pdf,verified
bottom,conservative sheet-metal pan,1,1,1,none,434.6x750,entire bottom,closed opaque panel,galvanized steel,GENERIC_BOTTOM_FALLBACK,controlled fallback
internal,hot-plug fan modules,7,1,7,fan1 to fan7,equal modules,behind front drive backplane,separate closed rotor housings with red latches,black/red,https://support.hpe.com/hpesc/public/docDisplay?docId=c04444501&docLocale=en_US,verified
