face,component,expected_count,expected_order,expected_relief,source,comparison,rotation_evidence,status,review_note
front,front rack latch/ear assemblies,2,left and right,separate protruding geometry,user configuration lock + official dimension Figure 18,qa/rotation-review-20260827/final/comparisons/front.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
front,LFF carriers,8,0-3 top then 4-7 bottom,recessed bay with separate carrier face and handle,user configuration lock + Owner's Manual Figure 1,qa/rotation-review-20260827/final/comparisons/front.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
front,LFF carrier handles,8,one per carrier,raised separate geometry,user configuration lock,qa/rotation-review-20260827/final/comparisons/front.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
front,control panel assembly,1,left upper band,separate shallow black panel,Owner's Manual Figure 1 + user lock,qa/rotation-review-20260827/final/comparisons/front.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
front,power button and NMI,2,power then NMI,shallow circular geometry,Owner's Manual pages 8-9,qa/rotation-review-20260827/final/comparisons/front.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
front,VGA connector,1,after ID controls,recessed connector,Owner's Manual pages 8-9,qa/rotation-review-20260827/final/comparisons/front.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
front,LCD menu buttons,3,left/select/right,recessed/raised buttons,Owner's Manual Figure 5 + technical guide Figure 9,qa/rotation-review-20260827/final/comparisons/front.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
front,LCD panel,1,after menu buttons,shallow recess,user lock + technical guide Figure 9,qa/rotation-review-20260827/final/comparisons/front.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
front,vFlash slot,1,before USB group,recessed slot,user configuration lock + technical guide,qa/rotation-review-20260827/final/comparisons/front.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
front,USB 2.0 connectors,2,left-to-right pair,recessed ports,user lock + Owner's Manual item 11,qa/rotation-review-20260827/final/comparisons/front.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
