face,component,count,rows,columns,left_to_right_order,relative_size,position,depth_or_relief,color_material,source_url,confidence
front,chassis body,1,1,1,n/a,"437 x 133 mm body","centered behind brackets","closed sheet-metal shell; front skin recessed slightly from edges","warm white textured paint",https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/ja_jp/FGT3700DDS.pdf,VERIFIED
front,rack-mount brackets,2,1,2,left then right,"extend overall span to nominal 482.6 mm","front side edges","separate white plates with large central cutout and round rack holes","white painted metal",https://fortinetweb.s3.amazonaws.com/docs.fortinet.com/v2/attachments/a8cceba0-1a0a-11e9-9685-f8bc1258b856/FG-3700D-Supplement.pdf,VERIFIED
front,rack handles,2,1,2,left then right,"large U-shaped pull handles","integral with front brackets","round metal bar projects about 34 mm forward","polished steel",https://fortinetweb.s3.amazonaws.com/docs.fortinet.com/v2/attachments/a8cceba0-1a0a-11e9-9685-f8bc1258b856/FG-3700D-Supplement.pdf,VERIFIED
front,upper circular ventilation field,1,13,"continuous staggered field","full width","about upper 58% of body face","true/recessed perforation relief over dark interior backing","white perforated steel with black holes",https://i.ebayimg.com/images/g/JO4AAeSw6Ytpwf24/s-l1600.webp,VERIFIED
front,brand and model marking,1,2,1,"FORTINET above FortiGate 3700D","compact identity block","lower far left","flush print","black/red/lime on white",https://i.ebayimg.com/images/g/JO4AAeSw6Ytpwf24/s-l1600.webp,VERIFIED
front,status indicators,4,4,1,"STATUS; ALARM; HA; POWER top-to-bottom","small square LEDs","left control area","flush lenses","dark gray/green/red/amber labels",https://fortinetweb.s3.amazonaws.com/docs.fortinet.com/v2/attachments/a8cceba0-1a0a-11e9-9685-f8bc1258b856/FG-3700D-Supplement.pdf,VERIFIED
front,USB MGMT mini-B,1,1,1,n/a,"small horizontal receptacle","bottom far left","recessed port","black metal/plastic",https://fortinetweb.s3.amazonaws.com/docs.fortinet.com/v2/attachments/a8cceba0-1a0a-11e9-9685-f8bc1258b856/FG-3700D-Supplement.pdf,VERIFIED
front,console and USB stack,2,2,1,"CONSOLE RJ45 above USB-A","one vertical stack","left of MGMT stack","recessed rectangular ports","black ports with silver lips",https://fortinetweb.s3.amazonaws.com/docs.fortinet.com/v2/attachments/a8cceba0-1a0a-11e9-9685-f8bc1258b856/FG-3700D-Supplement.pdf,VERIFIED
front,management ports,2,2,1,"MGMT 1 above MGMT 2","one vertical stack","right of console/USB stack","recessed RJ45 cages","black ports with silver lips",https://fortinetweb.s3.amazonaws.com/docs.fortinet.com/v2/attachments/a8cceba0-1a0a-11e9-9685-f8bc1258b856/FG-3700D-Supplement.pdf,VERIFIED
front,QSFP+ cages,4,1,4,"ports 1;2;3;4","four equal large cages","lower center-left","recessed empty transceiver cages","dark interior with metal rim",https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/ja_jp/FGT3700DDS.pdf,VERIFIED
front,SFP/SFP+ cages,28,2,14,"odd 5-31 top; even 6-32 bottom","four framed groups: 2 columns then 4+4+4 columns","lower right","recessed empty cages with latch lips","dark openings and silver cage edges",https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/ja_jp/FGT3700DDS.pdf,VERIFIED
front,front graphic field,1,1,1,n/a,"lower face strip","behind controls and ports","flush print","pale gray-green wave with white end blocks",https://i.ebayimg.com/images/g/aIkAAeSwhC1pwf23/s-l1600.webp,VERIFIED
rear,AC power supplies,2,1,2,"POWER 1 left; POWER 2 right","full-height narrow side modules","rear extremes","separate hot-swap modules; black pull loops project rearward","white/black metal and plastic",https://i.ebayimg.com/images/g/M3oAAeSwTgFpwf20/s-l1600.webp,VERIFIED
rear,IEC C14 inlets,2,1,2,"left PSU; right PSU","large black sockets","lower half of each PSU","recessed inlet","black plastic/metal",https://i.ebayimg.com/images/g/M3oAAeSwTgFpwf20/s-l1600.webp,VERIFIED
rear,PSU caution/identity plates,2,1,2,"left POWER 1; right POWER 2","upper white blocks","above IEC inlets","flush factory printing","black on white",https://www.enbitcon.de/media/0a/b6/a8/1598006101/FG-3700D-BkJ273bVuduepBU.jpg,VERIFIED
rear,central fan-grille trays,3,1,3,"left; center; right","three equal large square-grid panels","between PSUs","separate shallow trays with square cutouts and dark fan cavities","white steel over black fan interiors",https://i.ebayimg.com/images/g/M3oAAeSwTgFpwf20/s-l1600.webp,VERIFIED
rear,rear-visible fan rotor openings,3,1,3,"one visible circular rotor opening behind each of three trays","equal circular rear openings","behind central grilles","recessed geometry behind grilles; six FAN indicators remain separately visible","black/gray fan hubs and blades",https://i.ebayimg.com/images/g/M3oAAeSwTgFpwf20/s-l1600.webp,VERIFIED
rear,FAN status indicators,6,1,6,"one per fan","small circular indicator and square icon","lower-middle across trays","slight lens relief","silver/gray",https://fortinetweb.s3.amazonaws.com/docs.fortinet.com/v2/attachments/a8cceba0-1a0a-11e9-9685-f8bc1258b856/FG-3700D-Supplement.pdf,VERIFIED
rear,grounding studs,2,2,1,"upper then lower","round posts","right of third fan tray","silver posts protrude","polished steel",https://i.ebayimg.com/images/g/M3oAAeSwTgFpwf20/s-l1600.webp,VERIFIED
rear,ground symbol,1,1,1,n/a,"small printed symbol","below grounding studs","flush print","black",https://www.enbitcon.de/media/0a/b6/a8/1598006101/FG-3700D-BkJ273bVuduepBU.jpg,VERIFIED
left,plain side panel,1,1,1,n/a,"579 x 133 mm","physical left","flat shell with top-cover seam","warm white painted steel",https://fccid.io/ANATEL/00228-15-08867/EXT/AAF18922-F89D-46EB-B746-FD43BF194D87/PDF,VERIFIED
left,side fastener/rail-hole pattern,1,2,"asymmetric source pattern","not mirrored from right","distributed along top and lower edges","recessed holes, flush screws, four stamped circular standoffs","white/silver/black",https://fccid.io/ANATEL/00228-15-08867/EXT/AAF18922-F89D-46EB-B746-FD43BF194D87/PDF,VERIFIED
right,labeled side panel,1,1,1,n/a,"579 x 133 mm","physical right","flat shell with top-cover seam","warm white painted steel",https://fccid.io/ANATEL/00228-15-08867/EXT/AAF18922-F89D-46EB-B746-FD43BF194D87/PDF,VERIFIED
right,FG-3700D regulatory label,1,1,1,n/a,"large rectangular label","near physical front, upper-lower center","flush adhesive label","black/gray on white",https://i.ebayimg.com/images/g/c6cAAeSw5D5p3jBL/s-l1600.webp,VERIFIED
right,side fastener/rail-hole pattern,1,2,"asymmetric source pattern","not mirrored from left","distributed along top and lower edges","recessed holes, flush screws, four stamped circular standoffs","white/silver/black",https://fccid.io/ANATEL/00228-15-08867/EXT/AAF18922-F89D-46EB-B746-FD43BF194D87/PDF,VERIFIED
top,removable cover,1,1,1,n/a,"437 x 579 mm","entire top","thin raised cover with perimeter seam and edge screws","warm white painted steel",https://fccid.io/ANATEL/00228-15-08867/EXT/AAF18922-F89D-46EB-B746-FD43BF194D87/PDF,VERIFIED
